year,month,day,hour,street,crash_type,severity,lighting,weather,speed_limit,pedestrians_involved,cyclists_involved,date
2020,5,7,18,Wilson Blvd,Pedestrian Involved,Injury,Daylight,Clear,35,1,0,2020-05-07
2019,1,19,6,Washington Blvd,Pedestrian Involved,Property Damage Only,Dark - Lighted,Clear,25,1,0,2019-01-19
2023,2,28,18,Lee Hwy,Rear-End,Injury,Daylight,Clear,30,0,0,2023-02-28
2022,2,19,13,Glebe Rd,Pedestrian Involved,Property Damage Only,Daylight,Clear,25,1,0,2022-02-19
2022,11,19,6,S Walter Reed Dr,Pedestrian Involved,Property Damage Only,Dark - Unlighted,Cloudy,35,1,0,2022-11-19
2020,11,23,9,Clarendon Blvd,Angle,Property Damage Only,Dark - Unlighted,Rain,45,0,0,2020-11-23
2020,11,21,10,Arlington Blvd,Head-On,Fatal,Dark - Unlighted,Cloudy,25,0,0,2020-11-21
2019,8,20,8,S Walter Reed Dr,Rear-End,Property Damage Only,Daylight,Clear,30,0,0,2019-08-20
2023,5,5,8,Clarendon Blvd,Rear-End,Property Damage Only,Dark - Lighted,Rain,35,0,0,2023-05-05
2021,3,15,13,N Pershing Dr,Bicycle Involved,Property Damage Only,Dark - Unlighted,Clear,25,0,1,2021-03-15
2023,5,22,20,Columbia Pike,Angle,Property Damage Only,Dark - Unlighted,Clear,25,0,0,2023-05-22
2019,12,18,13,Lee Hwy,Sideswipe,Fatal,Dark - Unlighted,Clear,30,0,0,2019-12-18
2021,4,22,17,Arlington Blvd,Pedestrian Involved,Injury,Dawn/Dusk,Clear,35,1,0,2021-04-22
2019,2,21,17,N Fairfax Dr,Single Vehicle,Property Damage Only,Dark - Unlighted,Rain,25,0,0,2019-02-21
2019,6,25,16,Lee Hwy,Bicycle Involved,Property Damage Only,Dark - Unlighted,Clear,30,0,1,2019-06-25
2022,9,23,19,N Fairfax Dr,Pedestrian Involved,Property Damage Only,Daylight,Clear,25,1,0,2022-09-23
2019,12,5,3,N Pershing Dr,Rear-End,Property Damage Only,Dark - Unlighted,Rain,30,0,0,2019-12-05
2022,3,2,0,Arlington Blvd,Sideswipe,Property Damage Only,Daylight,Clear,35,0,0,2022-03-02
2020,11,8,16,Columbia Pike,Sideswipe,Property Damage Only,Dawn/Dusk,Rain,30,0,0,2020-11-08
2020,3,26,10,Lee Hwy,Head-On,Serious Injury,Daylight,Clear,30,0,0,2020-03-26
2021,7,26,9,Glebe Rd,Sideswipe,Property Damage Only,Dark - Lighted,Cloudy,25,0,0,2021-07-26
2022,1,28,19,Washington Blvd,Angle,Property Damage Only,Dark - Lighted,Rain,45,0,0,2022-01-28
2021,5,27,18,Glebe Rd,Angle,Property Damage Only,Daylight,Clear,30,0,0,2021-05-27
2022,6,9,8,Columbia Pike,Single Vehicle,Property Damage Only,Dark - Unlighted,Fog,35,0,0,2022-06-09
2023,7,22,20,N Pershing Dr,Sideswipe,Injury,Daylight,Clear,25,0,0,2023-07-22
2021,3,19,9,Arlington Blvd,Rear-End,Injury,Daylight,Fog,45,0,0,2021-03-19
2021,12,26,20,Clarendon Blvd,Head-On,Injury,Daylight,Rain,45,0,0,2021-12-26
2023,4,9,5,Wilson Blvd,Bicycle Involved,Property Damage Only,Dawn/Dusk,Fog,25,0,1,2023-04-09
2023,9,22,16,Glebe Rd,Sideswipe,Property Damage Only,Dawn/Dusk,Clear,25,0,0,2023-09-22
2021,10,11,17,Columbia Pike,Bicycle Involved,Property Damage Only,Dark - Unlighted,Clear,35,0,1,2021-10-11
2022,6,13,14,Arlington Blvd,Pedestrian Involved,Injury,Dark - Lighted,Rain,30,1,0,2022-06-13
2022,11,13,7,Lee Hwy,Pedestrian Involved,Injury,Dark - Unlighted,Clear,45,1,0,2022-11-13
2023,1,10,9,Arlington Blvd,Angle,Injury,Dawn/Dusk,Rain,35,0,0,2023-01-10
2022,8,15,19,Glebe Rd,Pedestrian Involved,Injury,Dawn/Dusk,Rain,30,1,0,2022-08-15
2019,5,17,6,S Walter Reed Dr,Sideswipe,Property Damage Only,Daylight,Clear,30,0,0,2019-05-17
2021,4,26,8,Glebe Rd,Angle,Fatal,Daylight,Clear,25,0,0,2021-04-26
2020,8,20,20,Columbia Pike,Head-On,Injury,Dawn/Dusk,Snow/Ice,30,0,0,2020-08-20
2022,8,13,13,Glebe Rd,Angle,Property Damage Only,Daylight,Clear,25,0,0,2022-08-13
2022,4,6,7,N Pershing Dr,Head-On,Injury,Daylight,Clear,30,0,0,2022-04-06
2019,8,5,1,Washington Blvd,Bicycle Involved,Injury,Dark - Unlighted,Clear,45,0,1,2019-08-05
2023,12,17,21,N Fairfax Dr,Single Vehicle,Serious Injury,Dawn/Dusk,Cloudy,30,0,0,2023-12-17
2022,8,9,10,Glebe Rd,Single Vehicle,Property Damage Only,Dark - Unlighted,Cloudy,45,0,0,2022-08-09
2020,5,15,11,Columbia Pike,Bicycle Involved,Serious Injury,Dark - Unlighted,Cloudy,30,0,1,2020-05-15
2021,6,11,19,N Pershing Dr,Rear-End,Property Damage Only,Dark - Lighted,Clear,30,0,0,2021-06-11
2020,7,23,19,Lee Hwy,Bicycle Involved,Property Damage Only,Dark - Lighted,Clear,25,0,1,2020-07-23
2022,7,11,15,N Pershing Dr,Head-On,Serious Injury,Dawn/Dusk,Rain,25,0,0,2022-07-11
2020,7,13,15,S Walter Reed Dr,Bicycle Involved,Property Damage Only,Daylight,Rain,45,0,1,2020-07-13
2022,1,12,23,Arlington Blvd,Single Vehicle,Property Damage Only,Dawn/Dusk,Clear,45,0,0,2022-01-12
2023,12,24,19,N Pershing Dr,Single Vehicle,Injury,Dark - Lighted,Rain,45,0,0,2023-12-24
2020,5,14,17,Washington Blvd,Rear-End,Property Damage Only,Dawn/Dusk,Clear,35,0,0,2020-05-14
2022,12,6,18,Washington Blvd,Angle,Injury,Daylight,Fog,45,0,0,2022-12-06
2023,10,22,20,Wilson Blvd,Rear-End,Property Damage Only,Dawn/Dusk,Clear,30,0,0,2023-10-22
2022,3,2,18,Arlington Blvd,Head-On,Injury,Dark - Unlighted,Rain,30,0,0,2022-03-02
2022,6,11,18,N Fairfax Dr,Sideswipe,Injury,Dawn/Dusk,Clear,35,0,0,2022-06-11
2019,8,1,10,N Pershing Dr,Rear-End,Property Damage Only,Dark - Unlighted,Rain,30,0,0,2019-08-01
2019,11,2,2,Wilson Blvd,Angle,Property Damage Only,Dark - Lighted,Clear,25,0,0,2019-11-02
2023,3,8,8,Lee Hwy,Head-On,Property Damage Only,Daylight,Clear,30,0,0,2023-03-08
2022,12,9,2,Clarendon Blvd,Angle,Injury,Daylight,Clear,30,0,0,2022-12-09
2021,2,19,6,Wilson Blvd,Sideswipe,Property Damage Only,Dawn/Dusk,Snow/Ice,45,0,0,2021-02-19
2020,2,19,7,Glebe Rd,Rear-End,Injury,Dark - Unlighted,Clear,25,0,0,2020-02-19
2023,1,12,4,N Pershing Dr,Head-On,Property Damage Only,Dark - Unlighted,Clear,25,0,0,2023-01-12
2023,11,11,16,Wilson Blvd,Single Vehicle,Injury,Dawn/Dusk,Cloudy,45,0,0,2023-11-11
2019,7,12,14,Washington Blvd,Bicycle Involved,Property Damage Only,Dark - Lighted,Snow/Ice,45,0,1,2019-07-12
2020,12,17,8,Arlington Blvd,Pedestrian Involved,Property Damage Only,Dawn/Dusk,Clear,45,1,0,2020-12-17
2022,12,19,1,Arlington Blvd,Sideswipe,Serious Injury,Dark - Lighted,Snow/Ice,25,0,0,2022-12-19
2021,8,8,17,Washington Blvd,Pedestrian Involved,Property Damage Only,Dawn/Dusk,Clear,35,1,0,2021-08-08
2019,8,28,7,Clarendon Blvd,Angle,Property Damage Only,Dawn/Dusk,Clear,30,0,0,2019-08-28
2021,5,11,17,Arlington Blvd,Pedestrian Involved,Injury,Dark - Unlighted,Clear,25,1,0,2021-05-11
2023,4,3,22,Glebe Rd,Bicycle Involved,Injury,Dawn/Dusk,Rain,45,0,1,2023-04-03
2023,4,23,16,Washington Blvd,Bicycle Involved,Property Damage Only,Dawn/Dusk,Clear,45,0,1,2023-04-23
2019,2,10,10,Glebe Rd,Head-On,Injury,Dark - Lighted,Clear,35,0,0,2019-02-10
2023,6,16,6,N Pershing Dr,Pedestrian Involved,Property Damage Only,Dark - Unlighted,Clear,45,1,0,2023-06-16
2023,6,12,19,Washington Blvd,Sideswipe,Injury,Dark - Unlighted,Clear,35,0,0,2023-06-12
2020,2,24,6,Glebe Rd,Sideswipe,Property Damage Only,Daylight,Clear,30,0,0,2020-02-24
2020,4,24,7,Washington Blvd,Sideswipe,Property Damage Only,Dark - Unlighted,Clear,25,0,0,2020-04-24
2020,5,8,16,Clarendon Blvd,Angle,Injury,Dark - Unlighted,Clear,25,0,0,2020-05-08
2023,3,9,10,Wilson Blvd,Rear-End,Injury,Dark - Unlighted,Clear,30,0,0,2023-03-09
2022,2,28,19,Wilson Blvd,Pedestrian Involved,Injury,Dark - Unlighted,Clear,45,1,0,2022-02-28
2022,8,11,5,Lee Hwy,Rear-End,Injury,Dark - Unlighted,Clear,45,0,0,2022-08-11
2019,2,13,15,Washington Blvd,Rear-End,Serious Injury,Daylight,Rain,30,0,0,2019-02-13
2020,10,10,10,Columbia Pike,Angle,Injury,Daylight,Clear,45,0,0,2020-10-10
2023,10,26,14,S Walter Reed Dr,Angle,Serious Injury,Dawn/Dusk,Clear,45,0,0,2023-10-26
2022,5,28,22,S Walter Reed Dr,Head-On,Serious Injury,Dark - Unlighted,Clear,25,0,0,2022-05-28
2023,12,4,5,Glebe Rd,Bicycle Involved,Property Damage Only,Dark - Lighted,Clear,35,0,1,2023-12-04
2019,3,8,6,Lee Hwy,Pedestrian Involved,Injury,Daylight,Clear,30,1,0,2019-03-08
2019,7,15,9,S Walter Reed Dr,Head-On,Injury,Dark - Unlighted,Clear,25,0,0,2019-07-15
2020,5,23,18,Arlington Blvd,Bicycle Involved,Property Damage Only,Dawn/Dusk,Clear,25,0,1,2020-05-23
2020,5,26,17,S Walter Reed Dr,Bicycle Involved,Injury,Dark - Lighted,Fog,45,0,1,2020-05-26
2019,9,8,17,Lee Hwy,Sideswipe,Injury,Dark - Lighted,Clear,25,0,0,2019-09-08
2019,3,26,7,Arlington Blvd,Pedestrian Involved,Injury,Dark - Unlighted,Snow/Ice,45,1,0,2019-03-26
2019,8,23,23,Arlington Blvd,Bicycle Involved,Property Damage Only,Dawn/Dusk,Clear,35,0,1,2019-08-23
2023,9,16,18,Washington Blvd,Rear-End,Property Damage Only,Daylight,Cloudy,45,0,0,2023-09-16
2021,10,9,19,Wilson Blvd,Rear-End,Property Damage Only,Dark - Lighted,Snow/Ice,25,0,0,2021-10-09
2021,10,2,18,Lee Hwy,Head-On,Property Damage Only,Dawn/Dusk,Cloudy,35,0,0,2021-10-02
2020,10,14,13,Washington Blvd,Rear-End,Injury,Dawn/Dusk,Clear,35,0,0,2020-10-14
2022,6,11,20,Columbia Pike,Single Vehicle,Property Damage Only,Dark - Lighted,Clear,35,0,0,2022-06-11
2022,12,16,20,Arlington Blvd,Bicycle Involved,Property Damage Only,Dawn/Dusk,Clear,25,0,1,2022-12-16
2022,2,11,21,Arlington Blvd,Sideswipe,Serious Injury,Daylight,Rain,45,0,0,2022-02-11
2023,1,22,16,N Pershing Dr,Head-On,Property Damage Only,Dawn/Dusk,Clear,25,0,0,2023-01-22
2020,9,12,9,S Walter Reed Dr,Single Vehicle,Injury,Dawn/Dusk,Snow/Ice,45,0,0,2020-09-12
2019,4,9,18,N Pershing Dr,Angle,Injury,Dark - Unlighted,Clear,45,0,0,2019-04-09
2022,2,1,13,S Walter Reed Dr,Single Vehicle,Property Damage Only,Dark - Lighted,Clear,30,0,0,2022-02-01
2021,9,1,12,N Pershing Dr,Head-On,Injury,Daylight,Clear,30,0,0,2021-09-01
2019,8,4,6,Lee Hwy,Head-On,Property Damage Only,Dark - Unlighted,Snow/Ice,35,0,0,2019-08-04
2022,8,16,16,Glebe Rd,Head-On,Property Damage Only,Dark - Lighted,Clear,45,0,0,2022-08-16
2020,10,17,17,Lee Hwy,Single Vehicle,Property Damage Only,Daylight,Snow/Ice,35,0,0,2020-10-17
2022,6,26,17,N Pershing Dr,Sideswipe,Property Damage Only,Daylight,Clear,35,0,0,2022-06-26
2021,10,19,23,Washington Blvd,Single Vehicle,Property Damage Only,Dark - Lighted,Clear,45,0,0,2021-10-19
2023,8,12,18,Clarendon Blvd,Pedestrian Involved,Serious Injury,Dawn/Dusk,Cloudy,45,1,0,2023-08-12
2021,4,23,18,Glebe Rd,Pedestrian Involved,Property Damage Only,Dawn/Dusk,Clear,30,1,0,2021-04-23
2022,1,11,18,Washington Blvd,Bicycle Involved,Property Damage Only,Dawn/Dusk,Clear,45,0,1,2022-01-11
2020,8,2,20,Lee Hwy,Pedestrian Involved,Property Damage Only,Dark - Unlighted,Clear,25,1,0,2020-08-02
2022,2,17,0,Washington Blvd,Rear-End,Property Damage Only,Dark - Lighted,Clear,45,0,0,2022-02-17
2020,2,16,6,Arlington Blvd,Sideswipe,Property Damage Only,Dawn/Dusk,Rain,25,0,0,2020-02-16
2021,11,28,18,N Pershing Dr,Head-On,Property Damage Only,Dark - Unlighted,Cloudy,45,0,0,2021-11-28
2023,1,20,10,Columbia Pike,Angle,Property Damage Only,Dark - Unlighted,Fog,30,0,0,2023-01-20
2019,7,4,7,Columbia Pike,Head-On,Serious Injury,Dark - Lighted,Clear,35,0,0,2019-07-04
2019,1,11,22,Wilson Blvd,Sideswipe,Property Damage Only,Dark - Unlighted,Fog,35,0,0,2019-01-11
2022,3,8,14,N Pershing Dr,Head-On,Fatal,Dark - Lighted,Clear,30,0,0,2022-03-08
2020,2,20,15,N Fairfax Dr,Pedestrian Involved,Serious Injury,Dark - Lighted,Clear,45,1,0,2020-02-20
2023,3,8,16,Washington Blvd,Bicycle Involved,Injury,Dark - Unlighted,Clear,45,0,1,2023-03-08
2021,11,1,16,Washington Blvd,Sideswipe,Property Damage Only,Dark - Lighted,Cloudy,25,0,0,2021-11-01
2022,6,19,4,Arlington Blvd,Bicycle Involved,Property Damage Only,Dawn/Dusk,Cloudy,35,0,1,2022-06-19
2022,5,7,20,N Fairfax Dr,Single Vehicle,Property Damage Only,Dawn/Dusk,Rain,25,0,0,2022-05-07
2020,7,19,8,Clarendon Blvd,Pedestrian Involved,Property Damage Only,Dark - Unlighted,Clear,35,1,0,2020-07-19
2019,11,13,9,Arlington Blvd,Rear-End,Property Damage Only,Daylight,Clear,45,0,0,2019-11-13
2021,4,20,22,Clarendon Blvd,Angle,Fatal,Dark - Lighted,Rain,35,0,0,2021-04-20
2020,11,4,14,Wilson Blvd,Sideswipe,Property Damage Only,Dawn/Dusk,Snow/Ice,25,0,0,2020-11-04
2023,6,24,17,Lee Hwy,Rear-End,Property Damage Only,Dark - Unlighted,Cloudy,35,0,0,2023-06-24
2022,3,7,18,Lee Hwy,Single Vehicle,Serious Injury,Dark - Unlighted,Rain,35,0,0,2022-03-07
2020,5,27,16,Washington Blvd,Single Vehicle,Property Damage Only,Dark - Unlighted,Cloudy,35,0,0,2020-05-27
2019,8,3,19,Lee Hwy,Single Vehicle,Property Damage Only,Dark - Lighted,Clear,45,0,0,2019-08-03
2023,6,3,10,N Fairfax Dr,Rear-End,Injury,Dark - Unlighted,Cloudy,25,0,0,2023-06-03
2022,6,22,7,Arlington Blvd,Pedestrian Involved,Property Damage Only,Dawn/Dusk,Clear,35,1,0,2022-06-22
2019,11,8,22,Washington Blvd,Rear-End,Injury,Dark - Unlighted,Snow/Ice,30,0,0,2019-11-08
2019,11,27,12,Washington Blvd,Bicycle Involved,Property Damage Only,Dark - Unlighted,Clear,45,0,1,2019-11-27
2019,3,2,5,Wilson Blvd,Sideswipe,Injury,Dawn/Dusk,Snow/Ice,25,0,0,2019-03-02
2019,4,18,23,Lee Hwy,Head-On,Fatal,Dawn/Dusk,Rain,35,0,0,2019-04-18
2023,7,19,18,Lee Hwy,Head-On,Serious Injury,Daylight,Snow/Ice,45,0,0,2023-07-19
2023,7,9,8,Wilson Blvd,Bicycle Involved,Property Damage Only,Dark - Unlighted,Clear,30,0,1,2023-07-09
2022,8,8,22,Clarendon Blvd,Rear-End,Property Damage Only,Dark - Unlighted,Clear,35,0,0,2022-08-08
2019,7,9,17,Glebe Rd,Rear-End,Property Damage Only,Dawn/Dusk,Clear,25,0,0,2019-07-09
2020,11,21,6,S Walter Reed Dr,Rear-End,Injury,Daylight,Clear,35,0,0,2020-11-21
2020,3,26,18,S Walter Reed Dr,Angle,Property Damage Only,Daylight,Fog,30,0,0,2020-03-26
2023,4,27,15,Glebe Rd,Sideswipe,Property Damage Only,Dark - Lighted,Fog,25,0,0,2023-04-27
2021,3,5,11,N Pershing Dr,Sideswipe,Property Damage Only,Dark - Lighted,Clear,25,0,0,2021-03-05
2019,3,1,18,Clarendon Blvd,Single Vehicle,Injury,Dark - Lighted,Rain,35,0,0,2019-03-01
2019,3,9,7,Wilson Blvd,Angle,Property Damage Only,Dawn/Dusk,Clear,25,0,0,2019-03-09
2019,8,15,9,Clarendon Blvd,Pedestrian Involved,Property Damage Only,Daylight,Clear,45,1,0,2019-08-15
2023,4,20,12,Wilson Blvd,Bicycle Involved,Serious Injury,Dark - Unlighted,Clear,45,0,1,2023-04-20
2019,1,16,14,N Fairfax Dr,Head-On,Injury,Daylight,Clear,45,0,0,2019-01-16
2022,2,3,16,Clarendon Blvd,Pedestrian Involved,Injury,Dark - Lighted,Cloudy,25,1,0,2022-02-03
2020,5,20,7,S Walter Reed Dr,Pedestrian Involved,Serious Injury,Dark - Unlighted,Clear,45,1,0,2020-05-20
2023,9,10,8,Washington Blvd,Pedestrian Involved,Property Damage Only,Dawn/Dusk,Cloudy,25,1,0,2023-09-10
2019,11,21,13,N Pershing Dr,Bicycle Involved,Property Damage Only,Dark - Lighted,Rain,45,0,1,2019-11-21
2022,4,14,8,Clarendon Blvd,Single Vehicle,Property Damage Only,Dawn/Dusk,Clear,45,0,0,2022-04-14
2022,12,4,6,Clarendon Blvd,Head-On,Property Damage Only,Dark - Unlighted,Clear,35,0,0,2022-12-04
2021,3,22,16,Washington Blvd,Rear-End,Property Damage Only,Daylight,Clear,25,0,0,2021-03-22
2019,7,4,20,Clarendon Blvd,Single Vehicle,Property Damage Only,Dark - Lighted,Rain,25,0,0,2019-07-04
2023,9,18,7,Clarendon Blvd,Bicycle Involved,Property Damage Only,Daylight,Clear,45,0,1,2023-09-18
2021,11,25,7,N Fairfax Dr,Single Vehicle,Property Damage Only,Daylight,Clear,35,0,0,2021-11-25
2023,5,12,6,Columbia Pike,Pedestrian Involved,Property Damage Only,Dark - Lighted,Clear,30,1,0,2023-05-12
2022,4,28,7,Columbia Pike,Sideswipe,Property Damage Only,Dark - Unlighted,Clear,25,0,0,2022-04-28
2021,10,8,17,N Fairfax Dr,Single Vehicle,Property Damage Only,Daylight,Snow/Ice,35,0,0,2021-10-08
2019,3,9,16,Arlington Blvd,Sideswipe,Property Damage Only,Dark - Unlighted,Fog,25,0,0,2019-03-09
2020,3,19,21,N Fairfax Dr,Rear-End,Property Damage Only,Dark - Lighted,Clear,25,0,0,2020-03-19
2019,12,17,18,Glebe Rd,Head-On,Injury,Dawn/Dusk,Clear,45,0,0,2019-12-17
2021,3,12,7,Arlington Blvd,Bicycle Involved,Property Damage Only,Dark - Unlighted,Clear,25,0,1,2021-03-12
2019,3,6,16,S Walter Reed Dr,Rear-End,Property Damage Only,Daylight,Clear,35,0,0,2019-03-06
2022,11,14,18,Washington Blvd,Pedestrian Involved,Property Damage Only,Dawn/Dusk,Clear,45,1,0,2022-11-14
2021,4,25,17,N Pershing Dr,Rear-End,Injury,Dark - Unlighted,Clear,45,0,0,2021-04-25
2019,5,22,14,S Walter Reed Dr,Head-On,Property Damage Only,Dark - Unlighted,Clear,25,0,0,2019-05-22
2020,7,20,14,Wilson Blvd,Rear-End,Property Damage Only,Dark - Lighted,Clear,35,0,0,2020-07-20
2020,3,25,10,Arlington Blvd,Sideswipe,Property Damage Only,Dark - Unlighted,Clear,25,0,0,2020-03-25
2019,8,24,7,N Fairfax Dr,Angle,Property Damage Only,Dark - Lighted,Clear,45,0,0,2019-08-24
2023,12,8,20,N Pershing Dr,Pedestrian Involved,Property Damage Only,Dark - Unlighted,Rain,25,1,0,2023-12-08
2022,12,2,18,N Fairfax Dr,Rear-End,Property Damage Only,Dawn/Dusk,Clear,25,0,0,2022-12-02
2021,10,14,14,S Walter Reed Dr,Head-On,Property Damage Only,Dawn/Dusk,Rain,35,0,0,2021-10-14
2019,7,1,12,Clarendon Blvd,Angle,Property Damage Only,Dawn/Dusk,Clear,35,0,0,2019-07-01
2019,7,28,10,Columbia Pike,Angle,Injury,Dawn/Dusk,Rain,45,0,0,2019-07-28
2023,2,13,10,Arlington Blvd,Bicycle Involved,Fatal,Dark - Unlighted,Rain,30,0,1,2023-02-13
2021,3,3,8,N Pershing Dr,Bicycle Involved,Property Damage Only,Daylight,Clear,30,0,1,2021-03-03
2021,6,24,8,Lee Hwy,Angle,Property Damage Only,Daylight,Clear,30,0,0,2021-06-24
2021,4,6,8,S Walter Reed Dr,Angle,Property Damage Only,Daylight,Fog,30,0,0,2021-04-06
2022,8,25,5,S Walter Reed Dr,Single Vehicle,Property Damage Only,Dawn/Dusk,Clear,35,0,0,2022-08-25
2021,3,15,23,Columbia Pike,Head-On,Property Damage Only,Dawn/Dusk,Clear,35,0,0,2021-03-15
2021,10,2,22,Clarendon Blvd,Pedestrian Involved,Injury,Daylight,Snow/Ice,35,1,0,2021-10-02
2022,8,2,8,Wilson Blvd,Sideswipe,Property Damage Only,Dark - Unlighted,Rain,25,0,0,2022-08-02
2019,10,20,21,N Pershing Dr,Head-On,Property Damage Only,Dawn/Dusk,Rain,25,0,0,2019-10-20
2022,10,21,8,Glebe Rd,Sideswipe,Injury,Dawn/Dusk,Clear,30,0,0,2022-10-21
2019,8,4,9,Clarendon Blvd,Bicycle Involved,Property Damage Only,Daylight,Clear,30,0,1,2019-08-04
2019,4,23,8,Washington Blvd,Head-On,Property Damage Only,Dark - Lighted,Rain,35,0,0,2019-04-23
2021,5,13,8,N Fairfax Dr,Single Vehicle,Property Damage Only,Dark - Unlighted,Clear,25,0,0,2021-05-13
2021,2,11,13,Columbia Pike,Pedestrian Involved,Property Damage Only,Dawn/Dusk,Clear,35,1,0,2021-02-11
2021,12,28,9,S Walter Reed Dr,Single Vehicle,Property Damage Only,Dark - Lighted,Clear,35,0,0,2021-12-28
2019,10,22,23,Lee Hwy,Sideswipe,Property Damage Only,Dark - Unlighted,Snow/Ice,45,0,0,2019-10-22
2020,10,23,8,Columbia Pike,Sideswipe,Injury,Dawn/Dusk,Snow/Ice,35,0,0,2020-10-23
2020,11,23,16,N Pershing Dr,Rear-End,Property Damage Only,Dawn/Dusk,Clear,35,0,0,2020-11-23
2019,6,10,9,Lee Hwy,Angle,Serious Injury,Dark - Unlighted,Snow/Ice,45,0,0,2019-06-10
